path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINADOR_62.jpg,val,MINEIRO_92,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINEIRO_92.jpg,test,MINADOR_62,12,18,-1.0,13,3,0.23076923076923078,5.9191385e-05,5.9191385e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_RECORTE_121.jpg,test,COCO_RECORTE_121,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_RECORTE_97.jpg,val,COCO_RECORTE_97,-1,-1,0.9207684993743896,9,4,0.4444444444444444,4.5068562e-05,3.8630194e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_506.jpg,test,SANAS_SOCORRO_506,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_393.jpg,train,SANAS_NUEVAS_393,-1,-1,0.8824881911277771,21,6,0.2857142857142857,0.08187953,0.06823294,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_37.jpg,train,COCO_P_A_37,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_P_A_55.jpg,val,COCO_P_A_55,-1,-1,0.9221330285072327,12,4,0.3333333333333333,0.4995665,0.4995665,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_243.jpg,train,SANAS_NUEVAS_243,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_73.jpg,val,SANAS_SOCORRO_73,-1,-1,0.8986670970916748,10,5,0.5,0.0031448435,0.003537949,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_343.jpg,train,SANAS_SOCORRO_343,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_491.jpg,val,SANAS_NUEVAS_491,-1,-1,0.9387654066085815,19,6,0.3157894736842105,0.012421783,0.02898416,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_34.jpg,train,SANAS_SOCORRO_34,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_598.jpg,val,SANAS_NUEVAS_598,-1,-1,0.9323802590370178,7,4,0.5714285714285714,0.0065900483,0.008054503,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_P_A_48.jpg,test,COCO_P_A_48,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_15.jpg,train,COCO_M_A_15,-1,-1,0.898735761642456,19,6,0.3157894736842105,0.32086134,0.22460294,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_37.jpg,test,COCO_M_A_37,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_87.jpg,train,COCO_Muy_A_87,-1,-1,0.9213498830795288,5,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_102.jpg,test,SANAS_NUEVAS_102,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_70.jpg,train,SANAS_NUEVAS_70,-1,-1,0.893891453742981,28,5,0.17857142857142858,0.0005137935,0.0005651728,True
